cin,nom,prenom,age,genre,profession,region,Prime_de_assurance_en_DT,Sujets_demande,description,type_demande,Date_demande
C87025667,Nom_320,Prenom_801,38.23796760155521,Femme,Profession_40,Le Kef,199,Sujet_5,Description_13,Type_5,03/18/2023
C23938973,Nom_241,Prenom_333,46.25688247263379,Femme,Profession_19,Zaghouan,514,Sujet_9,Description_3,Type_3,05/01/2023
C53132497,Nom_525,Prenom_304,23.807658254653003,Femme,Profession_67,Siliana,208,Sujet_4,Description_20,Type_1,08/17/2023
C52045357,Nom_421,Prenom_993,27.05601346564034,Femme,Profession_44,Gafsa,686,Sujet_2,Description_16,Type_5,05/06/2023
C48408037,Nom_771,Prenom_933,38.73111575897676,Femme,Profession_69,Nabeul,524,Sujet_9,Description_14,Type_3,08/10/2023
C74217305,Nom_460,Prenom_32,39.80950221490719,Homme,Profession_44,Sfax,452,Sujet_6,Description_7,Type_1,05/25/2023
C80274201,Nom_527,Prenom_760,40.84420817659051,Homme,Profession_94,Zaghouan,125,Sujet_6,Description_1,Type_2,12/06/2023
C79973479,Nom_164,Prenom_543,26.69707634427558,Homme,Profession_23,Gabes,933,Sujet_4,Description_8,Type_2,11/12/2023
C22766163,Nom_812,Prenom_380,51.75563196741804,Femme,Profession_26,Beja,218,Sujet_10,Description_2,Type_1,05/17/2023
C88970104,Nom_350,Prenom_631,13.493600074784936,Femme,Profession_51,Bizerte,408,Sujet_8,Description_4,Type_1,10/19/2023
C79486203,Nom_18,Prenom_447,31.692628330342853,Femme,Profession_55,Siliana,273,Sujet_3,Description_19,Type_1,10/05/2023
C35074616,Nom_261,Prenom_158,34.46649543848398,Homme,Profession_59,Ariana,199,Sujet_6,Description_11,Type_4,11/27/2023
C91649839,Nom_499,Prenom_937,41.1968045799942,Homme,Profession_1,Bizerte,767,Sujet_3,Description_16,Type_5,07/24/2023
C98456291,Nom_51,Prenom_495,27.81256221668039,Homme,Profession_67,Ariana,362,Sujet_10,Description_2,Type_4,02/16/2023
C99813586,Nom_951,Prenom_737,23.14123411993328,Homme,Profession_9,Monastir,699,Sujet_6,Description_3,Type_3,02/13/2023
C99163834,Nom_391,Prenom_765,39.52756001948966,Femme,Profession_79,La Manouba,432,Sujet_4,Description_17,Type_5,02/27/2023
C72041642,Nom_767,Prenom_256,29.74935643882856,Homme,Profession_43,Gafsa,807,Sujet_5,Description_17,Type_4,04/10/2023
C72408918,Nom_581,Prenom_651,45.20671493493137,Femme,Profession_65,Ariana,358,Sujet_8,Description_16,Type_3,06/07/2023
C15341751,Nom_114,Prenom_155,52.88058185928505,Femme,Profession_54,Ben Arous,882,Sujet_4,Description_10,Type_5,09/27/2023
C55770372,Nom_488,Prenom_227,28.62795533489684,Femme,Profession_50,Ben Arous,968,Sujet_6,Description_17,Type_2,01/06/2023
C65786674,Nom_503,Prenom_788,42.971201683092225,Femme,Profession_53,Jendouba,202,Sujet_9,Description_3,Type_1,02/19/2023
C58016920,Nom_705,Prenom_474,28.19228723065427,Femme,Profession_85,Zaghouan,789,Sujet_8,Description_9,Type_2,09/11/2023
C51318677,Nom_333,Prenom_99,49.89614909199706,Femme,Profession_86,Zaghouan,585,Sujet_3,Description_15,Type_5,12/02/2023
C93312297,Nom_649,Prenom_619,24.838377695340036,Femme,Profession_95,Le Kef,470,Sujet_9,Description_3,Type_3,06/21/2023
C19376443,Nom_522,Prenom_167,27.908208052059273,Femme,Profession_51,Ben Arous,297,Sujet_2,Description_5,Type_3,02/07/2023
C58513057,Nom_857,Prenom_278,32.5324547053926,Homme,Profession_85,Siliana,827,Sujet_2,Description_16,Type_4,09/16/2023
C58703064,Nom_908,Prenom_896,44.19038898673988,Homme,Profession_35,Le Kef,363,Sujet_10,Description_14,Type_4,11/11/2023
C13221772,Nom_752,Prenom_582,33.81910673702936,Femme,Profession_36,Sidi Bouzid,227,Sujet_10,Description_15,Type_1,09/05/2023
C91656245,Nom_793,Prenom_844,44.957443496850104,Homme,Profession_3,La Manouba,571,Sujet_2,Description_17,Type_3,01/13/2023
C91534862,Nom_62,Prenom_813,39.37327621814178,Homme,Profession_15,Zaghouan,219,Sujet_4,Description_1,Type_3,04/06/2023
C97360003,Nom_937,Prenom_372,45.62031949185164,Femme,Profession_72,Medenine,590,Sujet_9,Description_17,Type_1,11/16/2023
C95535780,Nom_821,Prenom_871,27.86593573826196,Homme,Profession_96,Kebili,415,Sujet_9,Description_20,Type_3,03/08/2023
C73596521,Nom_255,Prenom_396,52.79111223159029,Femme,Profession_52,Kebili,476,Sujet_1,Description_4,Type_4,01/16/2023
C58115012,Nom_492,Prenom_751,32.948875925260076,Femme,Profession_26,Sousse,108,Sujet_7,Description_3,Type_5,09/15/2023
C75299256,Nom_533,Prenom_148,35.03196253844601,Femme,Profession_78,Medenine,922,Sujet_3,Description_16,Type_4,05/19/2023
C49573286,Nom_330,Prenom_206,37.377264607485166,Homme,Profession_72,Tozeur,540,Sujet_3,Description_16,Type_2,10/24/2023
C21077407,Nom_262,Prenom_246,16.74056175488817,Homme,Profession_8,Jendouba,457,Sujet_4,Description_15,Type_5,07/23/2023
C18407384,Nom_271,Prenom_806,36.97873453285665,Femme,Profession_29,Kebili,452,Sujet_8,Description_6,Type_3,01/03/2023
C11913126,Nom_849,Prenom_940,39.913274480907916,Femme,Profession_49,Le Kef,743,Sujet_8,Description_2,Type_2,07/23/2023
C88280074,Nom_103,Prenom_225,27.61345628723275,Femme,Profession_89,Kairouan,252,Sujet_1,Description_17,Type_4,01/11/2023
C83614764,Nom_387,Prenom_56,28.410202006432478,Homme,Profession_31,Monastir,538,Sujet_8,Description_18,Type_3,09/01/2023
C36057305,Nom_432,Prenom_744,19.727989918190538,Femme,Profession_34,Mahdia,527,Sujet_1,Description_1,Type_3,12/24/2023
C24934060,Nom_305,Prenom_324,26.984676379802572,Femme,Profession_17,Nabeul,220,Sujet_6,Description_14,Type_4,03/04/2023
C74226862,Nom_903,Prenom_815,45.40648263790827,Femme,Profession_61,Medenine,335,Sujet_3,Description_2,Type_4,11/05/2023
C61794198,Nom_107,Prenom_431,47.59202510884044,Homme,Profession_68,Gafsa,571,Sujet_2,Description_16,Type_3,04/03/2023
C72841622,Nom_611,Prenom_100,46.0892503014022,Femme,Profession_97,Kebili,284,Sujet_6,Description_6,Type_4,11/27/2023
C63576989,Nom_993,Prenom_919,41.6383158111864,Homme,Profession_54,Mahdia,583,Sujet_4,Description_2,Type_4,01/05/2023
C13750197,Nom_123,Prenom_840,9.986286715228115,Femme,Profession_63,Ariana,433,Sujet_1,Description_4,Type_5,01/26/2023
C96464578,Nom_540,Prenom_429,29.301198685840166,Homme,Profession_35,Bizerte,847,Sujet_2,Description_11,Type_4,11/19/2023
C46586848,Nom_23,Prenom_970,34.2760453425978,Homme,Profession_68,Mahdia,410,Sujet_9,Description_12,Type_3,05/11/2023
C21346769,Nom_905,Prenom_765,18.338588759186184,Femme,Profession_64,Tozeur,627,Sujet_10,Description_13,Type_5,06/14/2023
C81963395,Nom_663,Prenom_921,44.70933937704653,Femme,Profession_15,Jendouba,312,Sujet_10,Description_11,Type_5,07/24/2023
C15973652,Nom_21,Prenom_655,35.80119716705638,Femme,Profession_48,La Manouba,885,Sujet_4,Description_2,Type_1,09/15/2023
C36822471,Nom_205,Prenom_663,43.844501776908366,Homme,Profession_48,Ariana,639,Sujet_3,Description_13,Type_4,01/02/2023
C35412318,Nom_669,Prenom_701,44.35419085954903,Femme,Profession_50,Sfax,368,Sujet_6,Description_18,Type_1,09/11/2023
C68171480,Nom_179,Prenom_818,19.284680872033366,Homme,Profession_72,Bizerte,723,Sujet_8,Description_18,Type_3,12/06/2023
C44287823,Nom_765,Prenom_261,33.167727846755255,Homme,Profession_2,Gabes,466,Sujet_10,Description_2,Type_3,07/18/2023
C73610257,Nom_130,Prenom_672,35.38435052921891,Homme,Profession_78,Tataouine,477,Sujet_6,Description_10,Type_3,04/11/2023
C60585952,Nom_643,Prenom_354,39.91631066505624,Femme,Profession_11,La Manouba,314,Sujet_2,Description_19,Type_1,04/18/2023
C64003647,Nom_707,Prenom_942,29.40967847999153,Femme,Profession_62,Kairouan,557,Sujet_10,Description_19,Type_4,02/03/2023
C42930428,Nom_697,Prenom_236,39.78052095410377,Femme,Profession_78,Gabes,746,Sujet_3,Description_19,Type_2,03/18/2023
C16120197,Nom_931,Prenom_726,29.444916166931687,Homme,Profession_96,Le Kef,552,Sujet_4,Description_7,Type_1,05/03/2023
C47116315,Nom_36,Prenom_625,7.714032930921562,Homme,Profession_60,Beja,234,Sujet_10,Description_8,Type_1,02/24/2023
C70836719,Nom_361,Prenom_870,35.46023832206783,Femme,Profession_16,La Manouba,320,Sujet_6,Description_4,Type_2,01/28/2023
C74802693,Nom_426,Prenom_28,28.606834511385365,Femme,Profession_60,Tataouine,798,Sujet_7,Description_12,Type_4,07/04/2023
C24400076,Nom_155,Prenom_308,33.81210469382617,Homme,Profession_69,Kairouan,747,Sujet_7,Description_9,Type_1,08/03/2023
C57729926,Nom_883,Prenom_986,34.1577329083321,Homme,Profession_95,Nabeul,705,Sujet_6,Description_6,Type_2,03/15/2023
C82383251,Nom_555,Prenom_338,45.88014281305066,Homme,Profession_27,Beja,756,Sujet_10,Description_5,Type_3,02/23/2023
C39826832,Nom_209,Prenom_463,33.57808967423988,Femme,Profession_96,Siliana,400,Sujet_3,Description_15,Type_1,04/11/2023
C69872892,Nom_854,Prenom_733,41.17707336590031,Femme,Profession_58,Nabeul,994,Sujet_7,Description_10,Type_4,11/06/2023
C59483158,Nom_881,Prenom_867,23.853978543137256,Femme,Profession_18,Monastir,300,Sujet_10,Description_10,Type_2,08/06/2023
C12170988,Nom_461,Prenom_686,20.881639344642373,Homme,Profession_27,Ariana,412,Sujet_7,Description_2,Type_4,01/22/2023
C45468313,Nom_820,Prenom_697,34.47835597436324,Homme,Profession_32,Zaghouan,503,Sujet_9,Description_3,Type_1,10/05/2023
C62096784,Nom_847,Prenom_330,35.25332691448152,Homme,Profession_30,La Manouba,417,Sujet_4,Description_1,Type_5,10/06/2023
C45957249,Nom_762,Prenom_448,45.189168716705844,Homme,Profession_51,Beja,672,Sujet_5,Description_17,Type_4,12/23/2023
C95913020,Nom_369,Prenom_498,44.18146663446653,Homme,Profession_71,Tozeur,510,Sujet_4,Description_16,Type_4,10/18/2023
C96104562,Nom_876,Prenom_808,45.16663579046963,Femme,Profession_47,Tataouine,275,Sujet_8,Description_1,Type_3,12/11/2023
C85070155,Nom_478,Prenom_470,29.91462805523576,Femme,Profession_52,Beja,879,Sujet_3,Description_8,Type_4,09/04/2023
C60516670,Nom_85,Prenom_981,42.521322532666666,Homme,Profession_53,Ariana,206,Sujet_8,Description_3,Type_4,06/28/2023
C14196126,Nom_129,Prenom_1,30.898370871470835,Homme,Profession_91,Kebili,438,Sujet_7,Description_6,Type_4,06/04/2023
C43507688,Nom_265,Prenom_544,35.22161842987733,Femme,Profession_33,Zaghouan,761,Sujet_5,Description_7,Type_4,01/25/2023
C68769851,Nom_218,Prenom_282,44.71332968863251,Homme,Profession_46,Sfax,898,Sujet_1,Description_11,Type_3,09/24/2023
C68844093,Nom_270,Prenom_964,39.903310590773714,Homme,Profession_77,Siliana,321,Sujet_4,Description_18,Type_4,01/06/2023
C73171822,Nom_252,Prenom_146,42.08766219584238,Homme,Profession_46,Monastir,899,Sujet_9,Description_9,Type_3,06/13/2023
C17577360,Nom_723,Prenom_383,35.361185535021264,Homme,Profession_54,Zaghouan,744,Sujet_7,Description_2,Type_2,11/11/2023
C74106546,Nom_888,Prenom_310,27.15637385126861,Homme,Profession_21,Le Kef,278,Sujet_4,Description_16,Type_5,10/12/2023
C83687571,Nom_200,Prenom_390,30.597228715390152,Femme,Profession_22,Tunis,696,Sujet_3,Description_17,Type_3,05/28/2023
C50318531,Nom_868,Prenom_478,43.331136027341536,Homme,Profession_57,Medenine,734,Sujet_3,Description_6,Type_4,03/17/2023
C61891705,Nom_762,Prenom_818,20.221858912114747,Femme,Profession_13,Le Kef,586,Sujet_10,Description_18,Type_5,07/20/2023
C89027795,Nom_606,Prenom_499,36.01355743775483,Homme,Profession_68,Sfax,454,Sujet_7,Description_15,Type_1,12/05/2023
C42912014,Nom_958,Prenom_329,24.69712406409429,Homme,Profession_66,Medenine,643,Sujet_4,Description_8,Type_2,06/01/2023
C64197393,Nom_911,Prenom_90,33.5413956055108,Femme,Profession_87,Ariana,918,Sujet_8,Description_17,Type_1,11/08/2023
C80587587,Nom_134,Prenom_388,41.898324286957674,Homme,Profession_35,Sousse,134,Sujet_3,Description_9,Type_5,04/25/2023
C75395731,Nom_774,Prenom_625,43.51196748609377,Homme,Profession_91,Gafsa,669,Sujet_3,Description_16,Type_3,02/09/2023
C66112761,Nom_394,Prenom_141,40.60590696505001,Femme,Profession_72,Zaghouan,155,Sujet_10,Description_7,Type_2,09/19/2023
C51351217,Nom_554,Prenom_49,40.53610984741141,Femme,Profession_70,Kairouan,940,Sujet_2,Description_1,Type_2,06/21/2023
C62809062,Nom_713,Prenom_689,47.14911032236849,Femme,Profession_43,Tunis,736,Sujet_5,Description_8,Type_3,03/15/2023
C99562516,Nom_864,Prenom_327,40.07099444265168,Homme,Profession_3,Sousse,762,Sujet_7,Description_1,Type_2,03/01/2023
C81574570,Nom_357,Prenom_410,39.0302837659645,Femme,Profession_82,Ben Arous,664,Sujet_10,Description_1,Type_5,12/08/2023
C82073646,Nom_264,Prenom_648,48.48376443323829,Femme,Profession_87,Gafsa,378,Sujet_10,Description_2,Type_5,06/18/2023
C16557782,Nom_979,Prenom_501,38.42124730595958,Femme,Profession_87,Sfax,865,Sujet_5,Description_1,Type_5,11/17/2023
C25239174,Nom_965,Prenom_127,31.824798473485945,Homme,Profession_89,Tunis,811,Sujet_10,Description_1,Type_1,09/26/2023
C22061561,Nom_92,Prenom_168,43.0314625401925,Homme,Profession_4,Gafsa,201,Sujet_8,Description_8,Type_1,04/21/2023
C91569672,Nom_882,Prenom_489,47.80510399693516,Homme,Profession_1,Monastir,222,Sujet_8,Description_12,Type_4,11/22/2023
C92356552,Nom_830,Prenom_259,37.710484903865996,Femme,Profession_20,Mahdia,894,Sujet_9,Description_11,Type_5,06/02/2023
C74385848,Nom_71,Prenom_256,50.8552890742677,Homme,Profession_85,Medenine,872,Sujet_5,Description_4,Type_3,04/22/2023
C26836869,Nom_158,Prenom_571,35.693852985908435,Femme,Profession_10,Sidi Bouzid,349,Sujet_2,Description_13,Type_4,01/16/2023
C66310465,Nom_219,Prenom_561,57.33113845525335,Homme,Profession_87,Sidi Bouzid,705,Sujet_4,Description_19,Type_5,04/26/2023
C78220542,Nom_386,Prenom_769,25.844207173944405,Femme,Profession_13,Bizerte,456,Sujet_1,Description_5,Type_1,11/11/2023
C62719585,Nom_486,Prenom_824,48.62125989084592,Femme,Profession_97,Gabes,850,Sujet_4,Description_20,Type_3,10/08/2023
C13119515,Nom_449,Prenom_125,45.02402501473611,Femme,Profession_46,La Manouba,529,Sujet_9,Description_1,Type_4,12/20/2023
C37733038,Nom_416,Prenom_467,24.573909274068242,Homme,Profession_24,Beja,870,Sujet_5,Description_6,Type_5,11/07/2023
C34682732,Nom_97,Prenom_780,25.24848856434693,Femme,Profession_83,La Manouba,483,Sujet_10,Description_19,Type_2,08/23/2023
C60748869,Nom_290,Prenom_412,51.496797718781345,Homme,Profession_95,Kebili,878,Sujet_2,Description_15,Type_2,08/27/2023
C61220730,Nom_279,Prenom_410,31.90069976142592,Femme,Profession_95,Kebili,518,Sujet_7,Description_18,Type_5,02/05/2023
C12448491,Nom_305,Prenom_620,41.809923240357115,Femme,Profession_28,Sousse,654,Sujet_5,Description_17,Type_5,06/26/2023
C83238791,Nom_700,Prenom_163,19.673099319520674,Homme,Profession_89,Bizerte,813,Sujet_5,Description_11,Type_1,09/10/2023
C85324346,Nom_490,Prenom_895,46.419954402820025,Homme,Profession_22,Tunis,741,Sujet_10,Description_4,Type_2,07/12/2023
C73431248,Nom_504,Prenom_414,32.44492260120316,Femme,Profession_34,Tunis,159,Sujet_1,Description_12,Type_1,04/18/2023
C69155328,Nom_468,Prenom_811,27.55708147008601,Femme,Profession_31,Beja,266,Sujet_5,Description_20,Type_4,07/13/2023
C39413047,Nom_69,Prenom_751,36.70496512713058,Femme,Profession_63,Kebili,604,Sujet_7,Description_12,Type_1,01/21/2023
C46525652,Nom_420,Prenom_502,59.30416009125266,Homme,Profession_25,Beja,396,Sujet_3,Description_5,Type_1,08/11/2023
C91225625,Nom_741,Prenom_155,57.19811309107368,Homme,Profession_47,Kebili,732,Sujet_2,Description_11,Type_3,01/18/2023
C32863009,Nom_113,Prenom_587,35.03628646945384,Femme,Profession_79,Nabeul,876,Sujet_4,Description_15,Type_1,03/24/2023
C48793932,Nom_480,Prenom_307,41.65304986122696,Femme,Profession_26,Mahdia,171,Sujet_4,Description_9,Type_2,09/21/2023
C69034482,Nom_108,Prenom_928,31.165857625057434,Homme,Profession_28,Monastir,701,Sujet_2,Description_19,Type_4,04/14/2023
C99846596,Nom_669,Prenom_738,35.68290426672478,Homme,Profession_15,Kebili,597,Sujet_2,Description_13,Type_5,04/10/2023
C69142988,Nom_407,Prenom_344,28.68892899868396,Homme,Profession_40,Ben Arous,908,Sujet_10,Description_3,Type_3,07/10/2023
C90843430,Nom_154,Prenom_839,49.34429006042333,Homme,Profession_37,Jendouba,326,Sujet_4,Description_17,Type_1,11/09/2023
C57017787,Nom_230,Prenom_350,49.41201137647161,Homme,Profession_96,Siliana,525,Sujet_6,Description_7,Type_2,12/10/2023
C66838459,Nom_34,Prenom_393,32.79523437165089,Homme,Profession_35,Ariana,761,Sujet_7,Description_20,Type_4,04/14/2023
C45584327,Nom_60,Prenom_616,48.17877317149434,Femme,Profession_92,Tozeur,918,Sujet_3,Description_18,Type_4,10/09/2023
C55798592,Nom_545,Prenom_107,29.795969365219253,Homme,Profession_35,Tataouine,933,Sujet_3,Description_14,Type_2,06/20/2023
C46246027,Nom_863,Prenom_813,11.998426878741164,Femme,Profession_46,Kebili,441,Sujet_6,Description_6,Type_4,01/10/2023
C69245769,Nom_601,Prenom_517,39.71589581408425,Homme,Profession_88,Sidi Bouzid,104,Sujet_3,Description_9,Type_5,06/02/2023
C68200048,Nom_662,Prenom_6,33.87314158515947,Homme,Profession_21,Tataouine,401,Sujet_8,Description_4,Type_3,11/24/2023
C58513099,Nom_488,Prenom_71,37.827361725580275,Femme,Profession_70,Mahdia,557,Sujet_7,Description_17,Type_1,07/18/2023
C69038905,Nom_691,Prenom_456,46.34862512823017,Femme,Profession_10,Kasserine,580,Sujet_1,Description_20,Type_3,11/23/2023
C10323840,Nom_601,Prenom_775,33.588779916221384,Homme,Profession_77,Ariana,475,Sujet_7,Description_6,Type_3,11/20/2023
C61746092,Nom_181,Prenom_151,37.70956313402676,Femme,Profession_19,Jendouba,484,Sujet_4,Description_14,Type_1,04/28/2023
C25651243,Nom_350,Prenom_943,48.143209343818846,Femme,Profession_86,Zaghouan,468,Sujet_7,Description_17,Type_4,08/03/2023
C24220060,Nom_789,Prenom_671,41.538231747942284,Homme,Profession_95,Mahdia,481,Sujet_6,Description_14,Type_2,11/14/2023
C28085648,Nom_760,Prenom_818,20.011807209287934,Femme,Profession_85,Kairouan,978,Sujet_1,Description_7,Type_1,06/22/2023
C56862216,Nom_615,Prenom_304,58.90419778288166,Femme,Profession_99,La Manouba,809,Sujet_1,Description_10,Type_2,03/10/2023
C27919762,Nom_210,Prenom_523,36.782112325390116,Homme,Profession_61,Ben Arous,477,Sujet_7,Description_14,Type_4,07/08/2023
C30196092,Nom_95,Prenom_250,44.911199191733,Femme,Profession_42,Medenine,577,Sujet_4,Description_20,Type_1,06/07/2023
C98143076,Nom_280,Prenom_172,43.91758363490876,Homme,Profession_60,Ben Arous,561,Sujet_3,Description_19,Type_2,06/01/2023
C58131190,Nom_393,Prenom_481,28.452569110351682,Femme,Profession_15,Mahdia,791,Sujet_2,Description_14,Type_5,12/12/2023
C38582175,Nom_632,Prenom_990,32.22502743420966,Homme,Profession_95,Beja,228,Sujet_7,Description_9,Type_2,09/19/2023
C15271927,Nom_713,Prenom_790,51.61498656462105,Homme,Profession_26,Nabeul,220,Sujet_3,Description_1,Type_2,09/07/2023
C12356216,Nom_35,Prenom_808,15.501106620107507,Femme,Profession_88,Sfax,349,Sujet_3,Description_1,Type_4,03/04/2023
